timestamp,account_number,account_name,amount_inr,txn_type,counterparty
2026-03-02 08:00:00,ACC_44556677889,Rohit Verma,500000,CREDIT,UNKNOWN_CRYPTO_EXCHANGE
2026-03-02 10:00:00,ACC_698014923,Random Person,871,DEBIT,VENDOR_89
2026-03-02 12:00:00,ACC_267492076,Random Person,128,DEBIT,VENDOR_24
2026-03-02 14:00:00,ACC_319772248,Random Person,3057,DEBIT,VENDOR_83
2026-03-02 16:00:00,ACC_502741680,Random Person,2245,DEBIT,VENDOR_43
2026-03-02 18:00:00,ACC_615112332,Random Person,3892,CREDIT,VENDOR_27
2026-03-02 20:00:00,ACC_763117091,Random Person,4883,DEBIT,VENDOR_61
2026-03-02 22:00:00,ACC_701295358,Random Person,3852,DEBIT,VENDOR_70
2026-03-03 00:00:00,ACC_419510038,Random Person,3712,DEBIT,VENDOR_53
2026-03-03 02:00:00,ACC_801025416,Random Person,3682,DEBIT,VENDOR_91
2026-03-03 04:00:00,ACC_44556677889,Rohit Verma,500000,CREDIT,UNKNOWN_CRYPTO_EXCHANGE
2026-03-03 06:00:00,ACC_501051349,Random Person,2744,CREDIT,VENDOR_31
2026-03-03 08:00:00,ACC_921481038,Random Person,764,DEBIT,VENDOR_68
2026-03-03 10:00:00,ACC_704807860,Random Person,1497,DEBIT,VENDOR_26
2026-03-03 12:00:00,ACC_223843410,Random Person,3933,DEBIT,VENDOR_75
2026-03-03 14:00:00,ACC_935011048,Random Person,1616,DEBIT,VENDOR_34
2026-03-03 16:00:00,ACC_487240696,Random Person,4107,DEBIT,VENDOR_5
2026-03-03 18:00:00,ACC_571213217,Random Person,671,CREDIT,VENDOR_90
2026-03-03 20:00:00,ACC_660682782,Random Person,2438,CREDIT,VENDOR_20
2026-03-03 22:00:00,ACC_117873986,Random Person,2192,DEBIT,VENDOR_48
2026-03-04 00:00:00,ACC_44556677889,Rohit Verma,500000,CREDIT,UNKNOWN_CRYPTO_EXCHANGE
2026-03-04 02:00:00,ACC_828034729,Random Person,190,CREDIT,VENDOR_79
2026-03-04 04:00:00,ACC_575575893,Random Person,2067,CREDIT,VENDOR_19
2026-03-04 06:00:00,ACC_626303459,Random Person,3126,CREDIT,VENDOR_93
2026-03-04 08:00:00,ACC_660716247,Random Person,488,DEBIT,VENDOR_81
2026-03-04 10:00:00,ACC_995938384,Random Person,1300,CREDIT,VENDOR_96
2026-03-04 12:00:00,ACC_678201463,Random Person,4856,DEBIT,VENDOR_29
2026-03-04 14:00:00,ACC_523747445,Random Person,4414,CREDIT,VENDOR_10
2026-03-04 16:00:00,ACC_914475539,Random Person,1748,CREDIT,VENDOR_41
2026-03-04 18:00:00,ACC_848210465,Random Person,4398,CREDIT,VENDOR_52
2026-03-04 20:00:00,ACC_44556677889,Rohit Verma,500000,CREDIT,UNKNOWN_CRYPTO_EXCHANGE
2026-03-04 22:00:00,ACC_475036322,Random Person,2958,CREDIT,VENDOR_17
2026-03-05 00:00:00,ACC_564087326,Random Person,232,DEBIT,VENDOR_45
2026-03-05 02:00:00,ACC_898491832,Random Person,338,DEBIT,VENDOR_23
2026-03-05 04:00:00,ACC_164791843,Random Person,1836,DEBIT,VENDOR_85
2026-03-05 06:00:00,ACC_489181650,Random Person,2922,CREDIT,VENDOR_38
2026-03-05 08:00:00,ACC_824289343,Random Person,1707,CREDIT,VENDOR_88
2026-03-05 10:00:00,ACC_934560892,Random Person,2904,DEBIT,VENDOR_48
2026-03-05 12:00:00,ACC_916308528,Random Person,487,CREDIT,VENDOR_84
2026-03-05 14:00:00,ACC_542397250,Random Person,2515,DEBIT,VENDOR_11
2026-03-05 16:00:00,ACC_44556677889,Rohit Verma,500000,CREDIT,UNKNOWN_CRYPTO_EXCHANGE
2026-03-05 18:00:00,ACC_304100191,Random Person,1725,CREDIT,VENDOR_16
2026-03-05 20:00:00,ACC_446257466,Random Person,4556,DEBIT,VENDOR_73
2026-03-05 22:00:00,ACC_934674050,Random Person,2728,DEBIT,VENDOR_19
2026-03-06 00:00:00,ACC_168750224,Random Person,3828,DEBIT,VENDOR_77
2026-03-06 02:00:00,ACC_523587066,Random Person,2586,DEBIT,VENDOR_81
2026-03-06 04:00:00,ACC_177980121,Random Person,4615,DEBIT,VENDOR_34
2026-03-06 06:00:00,ACC_943387418,Random Person,954,DEBIT,VENDOR_89
2026-03-06 08:00:00,ACC_811136121,Random Person,3068,DEBIT,VENDOR_33
2026-03-06 10:00:00,ACC_135232753,Random Person,184,CREDIT,VENDOR_100
