record_id,source_type,full_name,phone_number,imsi,imei,account_number,social_handle,ip_address,source_port,address,phone,national_id,email,device_id
REC-00001,SOCIAL,Shraddha Walkar,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00002,SOCIAL,Shraddha Walkar,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00003,SOCIAL,Aaftab Amin Poonawala,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00004,SOCIAL,Shraddha Walkar,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00005,SOCIAL,Aaftab Amin Poonawala,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00006,SOCIAL,Laxman Nadar,+919820334455,,,,,182.74.19.12,,,+919820334455,,,
REC-00007,SOCIAL,Shraddha Walkar,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00008,SOCIAL,Aaftab Amin Poonawala,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00009,SOCIAL,Sneha Roy,+919811556677,,,,,122.161.45.89,,,+919811556677,,,
REC-00010,SOCIAL,Aaftab Amin Poonawala,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00016,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00017,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00018,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00019,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00020,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00021,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00022,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00023,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00024,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00025,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00026,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00027,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00028,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00029,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00030,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00031,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00032,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00033,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00034,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00035,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00036,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00037,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00038,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00039,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00040,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00041,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00042,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00043,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00044,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00045,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00046,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00047,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00048,NETWORK,,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00049,NETWORK,,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
