record_id,source_type,full_name,phone_number,imsi,imei,account_number,social_handle,ip_address,source_port,address,phone,national_id,email,device_id
REC-00001,GENERAL,P01,,,,,,,,,,,,
REC-00002,GENERAL,P02,,,,,,,,,,,,
REC-00003,GENERAL,P03,,,,,,,,,,,,
REC-00004,GENERAL,P04,,,,,,,,,,,,
REC-00005,GENERAL,P05,,,,,,,,,,,,
REC-00006,GENERAL,P03,,,,,,,,,,,,
REC-00007,GENERAL,P03,,,,,,,,,,,,
REC-00008,GENERAL,P02,,,,,,,,,,,,
REC-00009,GENERAL,P04,,,,,,,,,,,,
REC-00010,GENERAL,P04,,,,,,,,,,,,
REC-00011,GENERAL,P04,,,,,,,,,,,,
REC-00012,GENERAL,P04,,,,,,,,,,,,
REC-00013,GENERAL,P04,,,,,,,,,,,,
REC-00014,GENERAL,P04,,,,,,,,,,,,
REC-00015,GENERAL,P02,,,,,,,,,,,,
REC-00016,GENERAL,P02,,,,,,,,,,,,
REC-00017,GENERAL,P02,,,,,,,,,,,,
REC-00018,GENERAL,P05,,,,,,,,,,,,
REC-00019,GENERAL,P05,,,,,,,,,,,,
REC-00020,GENERAL,P03,,,,,,,,,,,,
REC-00021,GENERAL,P01,,,,,,,,,,,,
REC-00022,GENERAL,P01,,,,,,,,,,,,
REC-00023,GENERAL,P01,,,,,,,,,,,,
REC-00024,GENERAL,P01,,,,,,,,,,,,
REC-00025,GENERAL,P02,,,,,,,,,,,,
REC-00026,GENERAL,P02,,,,,,,,,,,,
REC-00027,GENERAL,P02,,,,,,,,,,,,
REC-00028,GENERAL,P02,,,,,,,,,,,,
REC-00029,GENERAL,P03,,,,,,,,,,,,
REC-00030,GENERAL,P03,,,,,,,,,,,,
REC-00031,GENERAL,P03,,,,,,,,,,,,
REC-00032,GENERAL,P03,,,,,,,,,,,,
REC-00033,GENERAL,P04,,,,,,,,,,,,
REC-00034,GENERAL,P04,,,,,,,,,,,,
REC-00035,GENERAL,P04,,,,,,,,,,,,
REC-00036,GENERAL,P04,,,,,,,,,,,,
REC-00037,GENERAL,P05,,,,,,,,,,,,
REC-00038,GENERAL,P05,,,,,,,,,,,,
REC-00039,GENERAL,P05,,,,,,,,,,,,
REC-00040,GENERAL,P05,,,,,,,,,,,,
REC-00041,BANKING,,,,,AC-A01,,,,,,,,
REC-00042,BANKING,,,,,AC-A01,,,,,,,,
REC-00043,BANKING,,,,,AC-A02,,,,,,,,
REC-00044,BANKING,,,,,AC-A02,,,,,,,,
REC-00045,BANKING,,,,,AC-A03,,,,,,,,
REC-00046,BANKING,,,,,AC-A03,,,,,,,,
REC-00047,BANKING,,,,,AC-A04,,,,,,,,
REC-00048,BANKING,,,,,AC-A04,,,,,,,,
REC-00049,BANKING,,,,,AC-A05,,,,,,,,
REC-00050,BANKING,,,,,AC-A05,,,,,,,,
REC-00051,BANKING,,,,,AC-A04,,,,,,,,
REC-00052,BANKING,,,,,AC-A04,,,,,,,,
REC-00053,BANKING,,,,,AC-A03,,,,,,,,
REC-00054,BANKING,,,,,AC-A01,,,,,,,,
REC-00055,BANKING,,,,,AC-A04,,,,,,,,
REC-00056,BANKING,,,,,AC-A04,,,,,,,,
REC-00057,BANKING,,,,,AC-A03,,,,,,,,
REC-00058,BANKING,,,,,AC-A02,,,,,,,,
