record_id,source_type,full_name,phone_number,imsi,imei,account_number,social_handle,ip_address,source_port,address,phone,national_id,email,device_id
REC-00001,KYC,Aaftab Amin Poonawala,+919872110011,,,HDFC-AAFTAB-9921,,,,,+919872110011,PAN-AAP941127K,aaftab.poonawala@mail.test,
REC-00002,KYC,Aaftab Poonawala,+919872110011,,,PAYTM-AAFTAB-001,,,,,+919872110011,AADHAAR-882199014412,aaftab.p@cloudmail.test,
REC-00003,KYC,Shraddha Walkar,+919988220022,,,ICICI-SHRADDHA-4412,,,,,+919988220022,PAN-SW951216M,shraddha.walkar@mail.test,
REC-00004,KYC,Shraddha Vikas Walkar,+919988220022,,,ICICI-SHRADDHA-4412,,,,,+919988220022,AADHAAR-991244018823,shraddha.v.walkar@mail.test,
REC-00005,KYC,Laxman Nadar,+919820334455,,,SBI-LAXMAN-1102,,,,,+919820334455,PAN-LN950412R,laxman.nadar@mail.test,
REC-00006,KYC,Sneha Roy,+919811556677,,,AXIS-SNEHA-7788,,,,,+919811556677,PAN-SR930819P,sneha.roy.psych@mail.test,
REC-00007,KYC,Tilak Raj Sharma,+919810889900,,,PNB-TILAK-3301,,,,,+919810889900,GSTIN-07AABCT1234F1Z5,tilakelectronics.delhi@mail.test,
REC-00008,BANKING,Shraddha Walkar,,,,ICICI-SHRADDHA-4412,,,,,,,,
REC-00009,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00010,BANKING,Shraddha Walkar,,,,ICICI-SHRADDHA-4412,,,,,,,,
REC-00011,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00012,BANKING,Shraddha Walkar,,,,ICICI-SHRADDHA-4412,,,,,,,,
REC-00013,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00014,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00015,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00016,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00017,BANKING,Shraddha Walkar,,,,ICICI-SHRADDHA-4412,,,,,,,,
REC-00018,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00019,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00020,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00021,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00022,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00023,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
