record_id,source_type,full_name,phone_number,imsi,imei,account_number,social_handle,ip_address,source_port,address,phone,national_id,email,device_id
REC-00001,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00002,TELECOM,,+919988220022,IMSI-SW-01,IMEI-8642012002,,,,,,+919988220022,,,IMEI-8642012002
REC-00003,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00004,TELECOM,,+919988220022,IMSI-SW-01,IMEI-8642012002,,,,,,+919988220022,,,IMEI-8642012002
REC-00005,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00006,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00007,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00008,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00009,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00010,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00011,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00012,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00013,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00014,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00015,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00016,TELECOM,,+919872110011,IMSI-AAP-01,IMEI-8642011001,,,,,,+919872110011,,,IMEI-8642011001
REC-00017,TELECOM,,+919820334455,IMSI-LN-01,IMEI-8642013003,,,,,,+919820334455,,,IMEI-8642013003
REC-00018,TELECOM,,+919820334455,IMSI-LN-01,IMEI-8642013003,,,,,,+919820334455,,,IMEI-8642013003
