record_id,source_type,full_name,phone_number,imsi,imei,account_number,social_handle,ip_address,source_port,address,phone,national_id,email,device_id
REC-00001,BANKING,Aisha Sharma,+919811012345,,,100293847501,,,,,+919811012345,,,
REC-00002,BANKING,Neha Verma,+919811054321,,,100293847502,,,,,+919811054321,,,
REC-00003,BANKING,Ravi Malhotra,+919876543210,,,401928301122,,,,,+919876543210,,,
REC-00004,BANKING,Rahul Mehta,+919818374650,,,100293847505,,,,,+919818374650,,,
REC-00005,BANKING,Ramesh Chand,+919910293847,,,003910400199,,,,,+919910293847,,,
REC-00006,BANKING,Ravi Malhotra,+919876543210,,,401928301122,,,,,+919876543210,,,
REC-00007,BANKING,Ramesh Chand,+919910293847,,,003910400199,,,,,+919910293847,,,
REC-00008,BANKING,Aisha Sharma,+919811012345,,,100293847501,,,,,+919811012345,,,
REC-00009,BANKING,Rahul Mehta,+919818374650,,,100293847505,,,,,+919818374650,,,
REC-00010,BANKING,Ravi Malhotra,+919876543210,,,401928301122,,,,,+919876543210,,,
REC-00011,BANKING,Ramesh Chand,+919910293847,,,003910400199,,,,,+919910293847,,,
REC-00012,BANKING,Ramesh Chand,+919910293847,,,003910400199,,,,,+919910293847,,,
REC-00013,BANKING,Ramesh Chand,+919910293847,,,003910400199,,,,,+919910293847,,,
REC-00014,BANKING,Neha Verma,+919811054321,,,100293847502,,,,,+919811054321,,,
REC-00015,BANKING,Ravi Malhotra,+919876543210,,,401928301122,,,,,+919876543210,,,
REC-00016,BANKING,Rahul Mehta,+919818374650,,,100293847505,,,,,+919818374650,,,
REC-00017,BANKING,Ramesh Chand,+919910293847,,,003910400199,,,,,+919910293847,,,
REC-00018,BANKING,Ravi Malhotra,+919876543210,,,401928301122,,,,,+919876543210,,,
REC-00019,BANKING,Neha Verma,+919811054321,,,100293847502,,,,,+919811054321,,,
REC-00020,BANKING,Rahul Mehta,+919818374650,,,100293847505,,,,,+919818374650,,,
REC-00021,BANKING,Ramesh Chand,+919910293847,,,003910400199,,,,,+919910293847,,,
REC-00022,BANKING,Ravi Malhotra,+919876543210,,,401928301122,,,,,+919876543210,,,
REC-00023,TELECOM,Aisha Sharma,+919811012345,,864201040592801,,,,,"Connaught Place, New Delhi",+919811012345,,,864201040592801
REC-00024,TELECOM,Neha Verma,+919811054321,,864201040592802,,,,,"Sector 62, Noida",+919811054321,,,864201040592802
REC-00025,TELECOM,Ravi Malhotra,+919876543210,,864201040592803,,,,,"Sector 62, Noida",+919876543210,,,864201040592803
REC-00026,TELECOM,Ramesh Chand,+919910293847,,864201040592804,,,,,"Sector 18, Noida",+919910293847,,,864201040592804
REC-00027,TELECOM,Ravi Malhotra,+919876543210,,864201040592803,,,,,"Sector 62, Noida",+919876543210,,,864201040592803
REC-00028,TELECOM,Ravi Malhotra,+919876543210,,864201040592803,,,,,"Sector 62, Noida",+919876543210,,,864201040592803
REC-00029,TELECOM,Rahul Mehta,+919818374650,,864201040592805,,,,,"Connaught Place, New Delhi",+919818374650,,,864201040592805
REC-00030,TELECOM,Aisha Sharma,+919811012345,,864201040592801,,,,,"Sector 62, Noida",+919811012345,,,864201040592801
REC-00031,TELECOM,Aisha Sharma,+919811012345,,864201040592801,,,,,"Sector 62, Noida",+919811012345,,,864201040592801
REC-00032,TELECOM,Rahul Mehta,+919818374650,,864201040592805,,,,,"Sector 62, Noida",+919818374650,,,864201040592805
REC-00033,TELECOM,Ramesh Chand,+919910293847,,864201040592804,,,,,"Sector 62, Noida",+919910293847,,,864201040592804
REC-00034,TELECOM,Rahul Mehta,+919818374650,,864201040592805,,,,,"Laxmi Nagar, Delhi",+919818374650,,,864201040592805
REC-00035,TELECOM,Ramesh Chand,+919910293847,,864201040592804,,,,,"Abandoned Godown Area, Sohna-Nuh Road",+919910293847,,,864201040592804
REC-00036,TELECOM,Aisha Sharma,+919811012345,,864201040592801,,,,,"Abandoned Godown Area, Sohna-Nuh Road",+919811012345,,,864201040592801
REC-00037,TELECOM,Ravi Malhotra,+919876543210,,864201040592803,,,,,"Abandoned Godown Area, Sohna-Nuh Road",+919876543210,,,864201040592803
REC-00038,TELECOM,Neha Verma,+919811054321,,864201040592802,,,,,"Sector 62, Noida",+919811054321,,,864201040592802
REC-00039,TELECOM,Neha Verma,+919811054321,,864201040592802,,,,,"Sector 62, Noida",+919811054321,,,864201040592802
REC-00040,TELECOM,Neha Verma,+919811054321,,864201040592802,,,,,"Sector 62, Noida",+919811054321,,,864201040592802
REC-00041,TELECOM,Rahul Mehta,+919818374650,,864201040592805,,,,,"Connaught Place, New Delhi",+919818374650,,,864201040592805
REC-00042,TELECOM,Ravi Malhotra,+919876543210,,864201040592803,,,,,"Sector 62, Noida",+919876543210,,,864201040592803
REC-00043,TELECOM,Ramesh Chand,+919910293847,,864201040592804,,,,,"Sector 18, Noida",+919910293847,,,864201040592804
REC-00044,TELECOM,Neha Verma,+919811054321,,864201040592802,,,,,"Sector 62, Noida",+919811054321,,,864201040592802
REC-00045,TELECOM,Ravi Malhotra,+919876543210,,864201040592803,,,,,"Sector 62, Noida",+919876543210,,,864201040592803
REC-00046,TELECOM,Rahul Mehta,+919818374650,,864201040592805,,,,,"Connaught Place, New Delhi",+919818374650,,,864201040592805
REC-00047,TELECOM,Ravi Malhotra,+919876543210,,864201040592803,,,,,"Sector 62, Noida",+919876543210,,,864201040592803
REC-00048,SOCIAL,,+919811012345,,DEV_IPHONE_14_A301,,@aisha_s,100.64.12.4,,,+919811012345,,,DEV_IPHONE_14_A301
REC-00049,SOCIAL,,+919811054321,,DEV_SAMSUNG_S23_N02,,@neha_v,100.64.14.8,,,+919811054321,,,DEV_SAMSUNG_S23_N02
REC-00050,SOCIAL,,+919876543210,,DEV_ONEPLUS_11_R07,,@ravi_m_007,182.70.10.45,,,+919876543210,,,DEV_ONEPLUS_11_R07
REC-00051,SOCIAL,,+919818374650,,DEV_REALME_GT_RM05,,@rahul_mehta_real,100.64.88.12,,,+919818374650,,,DEV_REALME_GT_RM05
REC-00052,SOCIAL,,+919811012345,,DEV_IPHONE_14_A301,,@aisha_s,100.64.12.4,,,+919811012345,,,DEV_IPHONE_14_A301
REC-00053,SOCIAL,,+919811054321,,DEV_SAMSUNG_S23_N02,,@neha_v,100.64.14.8,,,+919811054321,,,DEV_SAMSUNG_S23_N02
REC-00054,SOCIAL,,+919876543210,,DEV_ONEPLUS_11_R07,,@ghost_shadow_99,182.70.10.45,,,+919876543210,,,DEV_ONEPLUS_11_R07
REC-00055,SOCIAL,,+919818374650,,DEV_REALME_GT_RM05,,@rahul_mehta_real,100.64.88.12,,,+919818374650,,,DEV_REALME_GT_RM05
REC-00056,SOCIAL,,+919876543210,,DEV_ONEPLUS_11_R07,,@ghost_shadow_99,182.70.10.45,,,+919876543210,,,DEV_ONEPLUS_11_R07
REC-00057,SOCIAL,,+919818374650,,DEV_REALME_GT_RM05,,@rahul_mehta_real,100.64.88.12,,,+919818374650,,,DEV_REALME_GT_RM05
REC-00058,SOCIAL,,+919811054321,,DEV_SAMSUNG_S23_N02,,@neha_v,100.64.14.8,,,+919811054321,,,DEV_SAMSUNG_S23_N02
REC-00059,SOCIAL,,+919876543210,,DEV_ONEPLUS_11_R07,,@bot_cyber_mask_01,182.70.10.45,,,+919876543210,,,DEV_ONEPLUS_11_R07
REC-00060,SOCIAL,,+919818374650,,DEV_REALME_GT_RM05,,@rahul_mehta_real,100.64.88.12,,,+919818374650,,,DEV_REALME_GT_RM05
REC-00061,SOCIAL,,+919876543210,,DEV_ONEPLUS_11_R07,,@ravi_m_007,182.70.10.45,,,+919876543210,,,DEV_ONEPLUS_11_R07
REC-00062,SOCIAL,,+919818374650,,DEV_REALME_GT_RM05,,@rahul_mehta_real,100.64.88.12,,,+919818374650,,,DEV_REALME_GT_RM05
REC-00063,SOCIAL,,+919910293847,,DEV_REDMI_NOTE_R04,,@ramesh_auto,100.64.55.99,,,+919910293847,,,DEV_REDMI_NOTE_R04
REC-00064,SOCIAL,,+919876543210,,DEV_ONEPLUS_11_R07,,@ghost_shadow_99,182.70.10.45,,,+919876543210,,,DEV_ONEPLUS_11_R07
REC-00065,SOCIAL,,+919818374650,,DEV_REALME_GT_RM05,,@rahul_mehta_real,100.64.88.12,,,+919818374650,,,DEV_REALME_GT_RM05
REC-00066,SOCIAL,,+919811054321,,DEV_SAMSUNG_S23_N02,,@neha_v,100.64.14.8,,,+919811054321,,,DEV_SAMSUNG_S23_N02
REC-00067,SOCIAL,,+919876543210,,DEV_ONEPLUS_11_R07,,@ravi_m_007,182.70.10.45,,,+919876543210,,,DEV_ONEPLUS_11_R07
REC-00068,SOCIAL,,+919818374650,,DEV_REALME_GT_RM05,,@rahul_mehta_real,100.64.88.12,,,+919818374650,,,DEV_REALME_GT_RM05
REC-00069,SOCIAL,,+919876543210,,DEV_ONEPLUS_11_R07,,@bot_cyber_mask_01,182.70.10.45,,,+919876543210,,,DEV_ONEPLUS_11_R07
REC-00070,NETWORK,Aisha Sharma,+919811012345,,,,,100.64.12.4,,"Sector 62, Noida",+919811012345,,,
REC-00071,NETWORK,Neha Verma,+919811054321,,,,,100.64.14.8,,"Sector 62, Noida",+919811054321,,,
REC-00072,NETWORK,Ravi Malhotra,+919876543210,,,,,182.70.10.45,,"Sector 62, Noida",+919876543210,,,
REC-00073,NETWORK,Rahul Mehta,+919818374650,,,,,100.64.88.12,,"Connaught Place, New Delhi",+919818374650,,,
REC-00074,NETWORK,Aisha Sharma,+919811012345,,,,,100.64.12.4,,"Sector 62, Noida",+919811012345,,,
REC-00075,NETWORK,Ramesh Chand,+919910293847,,,,,100.64.55.99,,"Sector 62, Noida",+919910293847,,,
REC-00076,NETWORK,Rahul Mehta,+919818374650,,,,,100.64.88.12,,"Sector 62, Noida",+919818374650,,,
REC-00077,NETWORK,Rahul Mehta,+919818374650,,,,,100.64.88.12,,"Laxmi Nagar, Delhi",+919818374650,,,
REC-00078,NETWORK,Aisha Sharma,+919811012345,,,,,100.64.12.4,,"Badshahpur, Gurugram",+919811012345,,,
REC-00079,NETWORK,Ramesh Chand,+919910293847,,,,,100.64.55.99,,"Badshahpur, Gurugram",+919910293847,,,
REC-00080,NETWORK,Aisha Sharma,+919811012345,,,,,100.64.12.4,,"Abandoned Godown Area, Sohna-Nuh Road",+919811012345,,,
REC-00081,NETWORK,Ramesh Chand,+919910293847,,,,,100.64.55.99,,"Abandoned Godown Area, Sohna-Nuh Road",+919910293847,,,
REC-00082,NETWORK,Ravi Malhotra,+919876543210,,,,,182.70.10.45,,"Abandoned Godown Area, Sohna-Nuh Road",+919876543210,,,
REC-00083,NETWORK,Ravi Malhotra,+919876543210,,,,,182.70.10.45,,"Abandoned Godown Area, Sohna-Nuh Road",+919876543210,,,
REC-00084,NETWORK,Ravi Malhotra,+919876543210,,,,,182.70.10.45,,"Sector 62, Noida",+919876543210,,,
REC-00085,NETWORK,Rahul Mehta,+919818374650,,,,,100.64.88.12,,"Connaught Place, New Delhi",+919818374650,,,
REC-00086,NETWORK,Neha Verma,+919811054321,,,,,100.64.14.8,,"Sector 62, Noida",+919811054321,,,
REC-00087,NETWORK,Ravi Malhotra,+919876543210,,,,,182.70.10.45,,"Sector 62, Noida",+919876543210,,,
REC-00088,NETWORK,Rahul Mehta,+919818374650,,,,,100.64.88.12,,"Connaught Place, New Delhi",+919818374650,,,
REC-00089,NETWORK,Ramesh Chand,+919910293847,,,,,100.64.55.99,,"Sector 18, Noida",+919910293847,,,
REC-00090,NETWORK,Ravi Malhotra,+919876543210,,,,,182.70.10.45,,"Sector 62, Noida",+919876543210,,,
REC-00091,NETWORK,Rahul Mehta,+919818374650,,,,,100.64.88.12,,"Connaught Place, New Delhi",+919818374650,,,
