record_id,source_type,full_name,phone_number,imsi,imei,account_number,social_handle,ip_address,source_port,address,phone,national_id,email,device_id
REC-00001,SOCIAL,Shraddha Walkar,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00002,SOCIAL,Shraddha Walkar,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00003,SOCIAL,Aaftab Amin Poonawala,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00004,SOCIAL,Shraddha Walkar,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00005,SOCIAL,Aaftab Amin Poonawala,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00006,SOCIAL,Laxman Nadar,+919820334455,,,,,182.74.19.12,,,+919820334455,,,
REC-00007,SOCIAL,Shraddha Walkar,+919988220022,,,,,103.15.24.88,,,+919988220022,,,
REC-00008,SOCIAL,Aaftab Amin Poonawala,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00009,SOCIAL,Sneha Roy,+919811556677,,,,,122.161.45.89,,,+919811556677,,,
REC-00010,SOCIAL,Aaftab Amin Poonawala,+919872110011,,,,,103.15.24.88,,,+919872110011,,,
REC-00011,BANKING,Shraddha Walkar,,,,ICICI-SHRADDHA-4412,,,,,,,,
REC-00012,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00013,BANKING,Shraddha Walkar,,,,ICICI-SHRADDHA-4412,,,,,,,,
REC-00014,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00015,BANKING,Shraddha Walkar,,,,ICICI-SHRADDHA-4412,,,,,,,,
REC-00016,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00017,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00018,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00019,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00020,BANKING,Shraddha Walkar,,,,ICICI-SHRADDHA-4412,,,,,,,,
REC-00021,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00022,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00023,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00024,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00025,BANKING,Aaftab Amin Poonawala,,,,HDFC-AAFTAB-9921,,,,,,,,
REC-00031,GENERAL,Aaftab Amin Poonawala,+919872110011,,,,,,,Mehrauli Rented Flat,+919872110011,,,
REC-00032,GENERAL,Shraddha Walkar,+919988220022,,,,,,,Mehrauli Rented Flat,+919988220022,,,
REC-00033,GENERAL,Aaftab Amin Poonawala,+919872110011,,,,,,,Mehrauli Rented Flat,+919872110011,,,
REC-00034,GENERAL,Shraddha Walkar,+919988220022,,,,,,,Mehrauli Rented Flat,+919988220022,,,
REC-00035,GENERAL,Aaftab Amin Poonawala,+919872110011,,,,,,,Mehrauli Rented Flat,+919872110011,,,
REC-00036,GENERAL,Shraddha Walkar,+919988220022,,,,,,,Mehrauli Rented Flat,+919988220022,,,
REC-00037,GENERAL,Aaftab Amin Poonawala,+919872110011,,,,,,,Mehrauli Rented Flat,+919872110011,,,
REC-00038,GENERAL,Shraddha Walkar,+919988220022,,,,,,,Mehrauli Rented Flat,+919988220022,,,
REC-00039,GENERAL,Aaftab Amin Poonawala,+919872110011,,,,,,,Mehrauli Rented Flat,+919872110011,,,
REC-00040,GENERAL,Shraddha Walkar,+919988220022,,,,,,,Mehrauli Rented Flat,+919988220022,,,
REC-00041,GENERAL,Aaftab Amin Poonawala,+919872110011,,,,,,,Mehrauli Rented Flat,+919872110011,,,
