record_id,source_type,full_name,phone_number,imsi,imei,account_number,social_handle,ip_address,source_port,address,phone,national_id,email,device_id
REC-00012,KYC,Arjun Malhotra,+919811001001,,,BANK1001,,,,,+919811001001,ID001,arjun.malhotra@mail.test,
REC-00013,KYC,Arjun Malhotra,+919811001001,,,BANK1001-ALT1,,,,,+919811001001,ID001,arjun.malhotra@mail.test,
REC-00014,KYC,Meera Kapoor,+919811001002,,,BANK1002,,,,,+919811001002,ID002,meera.kapoor@mail.test,
REC-00015,KYC,Meera Kappor,+919811001002,,,BANK1002-ALT1,,,,,+919811001002,ID002,meera.kapoor@mail.test,
REC-00016,KYC,Dev Khanna,+919811001003,,,BANK1003,,,,,+919811001003,ID003,dev.khanna@mail.test,
REC-00017,KYC,Dev Khanna,+919811001003,,,BANK1003-ALT1,,,,,+919811001003,ID003,dev.khanna@mail.test,
REC-00018,KYC,Nisha Bedi,+919811001004,,,BANK1004,,,,,+919811001004,ID004,nisha.bedi@mail.test,
REC-00019,KYC,Nisha Bedi,+919811001004,,,BANK1004-ALT1,,,,,+919811001004,ID004,nisha.bedi@mail.test,
REC-00020,KYC,Rohit Sethi,+919811001005,,,BANK1005,,,,,+919811001005,ID005,rohit.sethi@mail.test,
REC-00021,KYC,Rohit Sethi,+919811001005,,,BANK1005-ALT1,,,,,+919811001005,ID005,rohit.sethi@mail.test,
REC-00022,KYC,Karan Arora,+919811001006,,,BANK1006,,,,,+919811001006,ID006,karan.arora@mail.test,
REC-00023,KYC,Tanya Joshi,+919811001007,,,BANK1007,,,,,+919811001007,ID007,tanya.joshi@mail.test,
REC-00024,KYC,Ishaan Verma,+919811001008,,,BANK1008,,,,,+919811001008,ID008,ishaan.verma@mail.test,
REC-00025,KYC,Priya Anand,+919811001009,,,BANK1009,,,,,+919811001009,ID009,priya.anand@mail.test,
REC-00026,KYC,Sameer Gill,+919811001010,,,BANK1010,,,,,+919811001010,ID010,sameer.gill@mail.test,
REC-00027,BANKING,Karan Arora,,,,BANK1006,,,,,,,,
REC-00028,BANKING,Priya Anand,,,,BANK1009,,,,,,,,
REC-00029,BANKING,Priya Anand,,,,BANK1009,,,,,,,,
REC-00030,BANKING,Tanya Joshi,,,,BANK1007,,,,,,,,
REC-00031,BANKING,Tanya Joshi,,,,BANK1007,,,,,,,,
REC-00032,BANKING,Sameer Gill,,,,BANK1010,,,,,,,,
REC-00033,BANKING,Arjun Malhotra,,,,BANK1001,,,,,,,,
REC-00034,BANKING,Rohit Sethi,,,,BANK1005,,,,,,,,
REC-00035,BANKING,Sameer Gill,,,,BANK1010,,,,,,,,
REC-00036,BANKING,Sameer Gill,,,,BANK1010,,,,,,,,
REC-00037,BANKING,Meera Kapoor,,,,BANK1002,,,,,,,,
REC-00038,BANKING,Priya Anand,,,,BANK1009,,,,,,,,
REC-00039,BANKING,Ishaan Verma,,,,BANK1008,,,,,,,,
REC-00040,BANKING,Nisha Bedi,,,,BANK1004,,,,,,,,
REC-00041,BANKING,Ishaan Verma,,,,BANK1008,,,,,,,,
REC-00042,BANKING,Meera Kapoor,,,,BANK1002,,,,,,,,
REC-00043,BANKING,Karan Arora,,,,BANK1006,,,,,,,,
REC-00044,BANKING,Meera Kapoor,,,,BANK1002,,,,,,,,
REC-00045,BANKING,Karan Arora,,,,BANK1006,,,,,,,,
REC-00046,BANKING,Meera Kapoor,,,,BANK1002,,,,,,,,
REC-00047,BANKING,Rohit Sethi,,,,BANK1005,,,,,,,,
REC-00048,BANKING,Karan Arora,,,,BANK1006,,,,,,,,
REC-00049,BANKING,Sameer Gill,,,,BANK1010,,,,,,,,
REC-00050,BANKING,Rohit Sethi,,,,BANK1005,,,,,,,,
REC-00051,BANKING,Ishaan Verma,,,,BANK1008,,,,,,,,
REC-00052,BANKING,Priya Anand,,,,BANK1009,,,,,,,,
REC-00053,BANKING,Rohit Sethi,,,,BANK1005,,,,,,,,
REC-00054,BANKING,Dev Khanna,,,,BANK1003,,,,,,,,
REC-00055,BANKING,Nisha Bedi,,,,BANK1004,,,,,,,,
REC-00056,BANKING,Rohit Sethi,,,,BANK1005,,,,,,,,
REC-00057,BANKING,Priya Anand,,,,BANK1009,,,,,,,,
REC-00058,BANKING,Dev Khanna,,,,BANK1003,,,,,,,,
REC-00059,BANKING,Priya Anand,,,,BANK1009,,,,,,,,
REC-00060,BANKING,Meera Kapoor,,,,BANK1002,,,,,,,,
REC-00061,BANKING,Nisha Bedi,,,,BANK1004,,,,,,,,
REC-00062,BANKING,Meera Kapoor,,,,BANK1002,,,,,,,,
REC-00063,BANKING,Arjun Malhotra,,,,BANK1001,,,,,,,,
REC-00064,BANKING,Sameer Gill,,,,BANK1010,,,,,,,,
REC-00065,BANKING,Tanya Joshi,,,,BANK1007,,,,,,,,
REC-00066,BANKING,Sameer Gill,,,,BANK1010,,,,,,,,
REC-00067,BANKING,Ishaan Verma,,,,BANK1008,,,,,,,,
REC-00068,BANKING,Meera Kapoor,,,,BANK1002,,,,,,,,
REC-00069,BANKING,Rohit Sethi,,,,BANK1005,,,,,,,,
REC-00070,BANKING,Arjun Malhotra,,,,BANK1001,,,,,,,,
REC-00071,BANKING,Priya Anand,,,,BANK1009,,,,,,,,
REC-00072,BANKING,Meera Kapoor,,,,BANK1002,,,,,,,,
REC-00073,BANKING,Karan Arora,,,,BANK1006,,,,,,,,
REC-00074,BANKING,Karan Arora,,,,BANK1006,,,,,,,,
REC-00075,BANKING,Tanya Joshi,,,,BANK1007,,,,,,,,
REC-00076,BANKING,Karan Arora,,,,BANK1006,,,,,,,,
REC-00077,BANKING,Rohit Sethi,,,,BANK1005,,,,,,,,
REC-00078,BANKING,Ishaan Verma,,,,BANK1008,,,,,,,,
REC-00079,BANKING,Meera Kapoor,,,,BANK1002,,,,,,,,
REC-00080,BANKING,Nisha Bedi,,,,BANK1004,,,,,,,,
REC-00081,BANKING,Ishaan Verma,,,,BANK1008,,,,,,,,
REC-00082,BANKING,Meera Kapoor,,,,BANK1002,,,,,,,,
